,event_name,human_instructions,time_estimate_min_per_m2,time_taken_min,soil_plot_list,tools used,consumables_used,growing degree days after planting,is harvest step
0,post harvest ,"put lettuce in water tub with blower for agitation. Remove after 15 min, put on rack to dry for 15 min. Place in plastic bags for sale, add price stickers",6,-1,,washing tub with blown air agitator,plastic bags,,1
,,,,,,drying rack ,price stickers,,
