x,y,SNOW_ON_GROUND,SPEED_MAX_GUST,LOCAL_MONTH,MAX_REL_HUMIDITY,HEATING_DEGREE_DAYS_FLAG,LOCAL_DAY,DIRECTION_MAX_GUST_FLAG,TOTAL_PRECIPITATION_FLAG,TOTAL_SNOW,MIN_REL_HUMIDITY,STATION_NAME,MAX_TEMPERATURE,TOTAL_RAIN,ID,MIN_TEMPERATURE_FLAG,SNOW_ON_GROUND_FLAG,SPEED_MAX_GUST_FLAG,PROVINCE_CODE,CLIMATE_IDENTIFIER,LOCAL_YEAR,MAX_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS,TOTAL_SNOW_FLAG,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,DIRECTION_MAX_GUST,TOTAL_RAIN_FLAG,TOTAL_PRECIPITATION,MEAN_TEMPERATURE,LOCAL_DATE,HEATING_DEGREE_DAYS,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS_FLAG
-66.08805555555556,43.82694444444444,,60,11,65,,23,,M,,51,YARMOUTH A,2.2,,8206496.2018.11.23,,,,NS,8206496,2018,,0,,,-8.6,32,,,-3.2,2018-11-23 00:00:00,21.2,,,
-66.08805555555556,43.82694444444444,,41,11,88,,24,,M,,64,YARMOUTH A,7.9,,8206496.2018.11.24,,,,NS,8206496,2018,,0,,,2.2,27,,,5.1,2018-11-24 00:00:00,12.9,,,
-66.08805555555556,43.82694444444444,,34,11,97,,25,,M,,87,YARMOUTH A,5.5,,8206496.2018.11.25,,,,NS,8206496,2018,,0,,,0.8,9,,,3.2,2018-11-25 00:00:00,14.8,,,
-66.08805555555556,43.82694444444444,,,11,96,,26,,M,,60,YARMOUTH A,4.2,,8206496.2018.11.26,,,,NS,8206496,2018,,0,,,-1.8,,,,1.2,2018-11-26 00:00:00,16.8,,,
-66.08805555555556,43.82694444444444,,55,11,97,,27,,M,,90,YARMOUTH A,6.4,,8206496.2018.11.27,,,,NS,8206496,2018,,0,,,1.1,11,,,3.8,2018-11-27 00:00:00,14.2,,,
-66.08805555555556,43.82694444444444,,39,11,98,,28,,M,,73,YARMOUTH A,7.5,,8206496.2018.11.28,,,,NS,8206496,2018,,0,,,1.4,33,,,4.5,2018-11-28 00:00:00,13.5,,,
-66.08805555555556,43.82694444444444,,,11,,M,29,M,M,,,YARMOUTH A,,,8206496.2018.11.29,M,,M,NS,8206496,2018,M,,,M,,,,,,2018-11-29 00:00:00,,M,M,M
-66.08805555555556,43.82694444444444,,32,11,82,,30,,M,,60,YARMOUTH A,6.1,,8206496.2018.11.30,,,,NS,8206496,2018,,0,,,-0.7,34,,,2.7,2018-11-30 00:00:00,15.3,,,
-66.08805555555556,43.82694444444444,,,12,86,,1,,M,,70,YARMOUTH A,3,,8206496.2018.12.1,,,,NS,8206496,2018,,0,,,-0.2,,,,1.4,2018-12-01 00:00:00,16.6,,,
-66.08805555555556,43.82694444444444,,48,12,99,,2,,M,,78,YARMOUTH A,10.8,,8206496.2018.12.2,,,,NS,8206496,2018,,0,,,-0.4,14,,,5.2,2018-12-02 00:00:00,12.8,,,
-66.08805555555556,43.82694444444444,,34,12,100,,3,,M,,83,YARMOUTH A,10.2,,8206496.2018.12.3,,,,NS,8206496,2018,,0,,,3.4,31,,,6.8,2018-12-03 00:00:00,11.2,,,
-66.08805555555556,43.82694444444444,,44,12,85,,4,,M,,54,YARMOUTH A,3.4,,8206496.2018.12.4,,,,NS,8206496,2018,,0,,,-4.6,33,,,-0.6,2018-12-04 00:00:00,18.6,,,
-66.08805555555556,43.82694444444444,,32,12,79,,5,,M,,61,YARMOUTH A,-2.9,,8206496.2018.12.5,,,,NS,8206496,2018,,0,,,-5.4,33,,,-4.2,2018-12-05 00:00:00,22.2,,,
-66.08805555555556,43.82694444444444,,,12,96,,6,,M,,64,YARMOUTH A,1,,8206496.2018.12.6,,,,NS,8206496,2018,,0,,,-4.9,,,,-2,2018-12-06 00:00:00,20,,,
-66.08805555555556,43.82694444444444,,38,12,98,,7,,M,,64,YARMOUTH A,1.8,,8206496.2018.12.7,,,,NS,8206496,2018,,0,,,-4.7,33,,,-1.5,2018-12-07 00:00:00,19.5,,,
-66.08805555555556,43.82694444444444,,40,12,88,,8,,M,,58,YARMOUTH A,-2.5,,8206496.2018.12.8,,,,NS,8206496,2018,,0,,,-7.6,33,,,-5.1,2018-12-08 00:00:00,23.1,,,
-66.08805555555556,43.82694444444444,,40,12,91,,9,,M,,61,YARMOUTH A,1.9,,8206496.2018.12.9,,,,NS,8206496,2018,,0,,,-7.7,26,,,-2.9,2018-12-09 00:00:00,20.9,,,
-66.08805555555556,43.82694444444444,,40,12,73,,10,,M,,59,YARMOUTH A,1.7,,8206496.2018.12.10,,,,NS,8206496,2018,,0,,,-5.9,32,,,-2.1,2018-12-10 00:00:00,20.1,,,
-66.08805555555556,43.82694444444444,,,12,83,,11,,M,,67,YARMOUTH A,-3,,8206496.2018.12.11,,,,NS,8206496,2018,,0,,,-6.5,,,,-4.8,2018-12-11 00:00:00,22.8,,,
-66.08805555555556,43.82694444444444,,37,12,88,,12,,M,,67,YARMOUTH A,-4.3,,8206496.2018.12.12,,,,NS,8206496,2018,,0,,,-8.5,35,,,-6.4,2018-12-12 00:00:00,24.4,,,
-66.08805555555556,43.82694444444444,,,12,85,,13,,M,,56,YARMOUTH A,-3.1,,8206496.2018.12.13,,,,NS,8206496,2018,,0,,,-12.5,,,,-7.8,2018-12-13 00:00:00,25.8,,,
-66.08805555555556,43.82694444444444,,,12,98,,14,,M,,72,YARMOUTH A,3.9,,8206496.2018.12.14,,,,NS,8206496,2018,,0,,,-6.7,,,,-1.4,2018-12-14 00:00:00,19.4,,,
-66.08805555555556,43.82694444444444,,32,12,99,,15,,M,,69,YARMOUTH A,7.5,,8206496.2018.12.15,,,,NS,8206496,2018,,0,,,-1.1,22,,,3.2,2018-12-15 00:00:00,14.8,,,
-66.08805555555556,43.82694444444444,,41,12,93,,16,,M,,65,YARMOUTH A,3.9,,8206496.2018.12.16,,,,NS,8206496,2018,,0,,,-3.2,9,,,0.4,2018-12-16 00:00:00,17.6,,,
-66.08805555555556,43.82694444444444,,50,12,97,,17,,M,,89,YARMOUTH A,3.8,,8206496.2018.12.17,,,,NS,8206496,2018,,0,,,0.4,8,,,2.1,2018-12-17 00:00:00,15.9,,,
-66.08805555555556,43.82694444444444,,68,12,96,,18,,M,,70,YARMOUTH A,0.4,,8206496.2018.12.18,,,,NS,8206496,2018,,0,,,-3.6,32,,,-1.6,2018-12-18 00:00:00,19.6,,,
-66.08805555555556,43.82694444444444,,57,12,75,,19,,M,,62,YARMOUTH A,-0.1,,8206496.2018.12.19,,,,NS,8206496,2018,,0,,,-3.9,33,,,-2,2018-12-19 00:00:00,20,,,
-66.08805555555556,43.82694444444444,,,12,99,,20,,M,,67,YARMOUTH A,5.2,,8206496.2018.12.20,,,,NS,8206496,2018,,0,,,-4.6,,,,0.3,2018-12-20 00:00:00,17.7,,,
-66.08805555555556,43.82694444444444,,57,12,99,,21,,M,,89,YARMOUTH A,11.6,,8206496.2018.12.21,,,,NS,8206496,2018,,0,,,-1.1,15,,,5.3,2018-12-21 00:00:00,12.7,,,
-66.08805555555556,43.82694444444444,,62,12,100,,22,,M,,77,YARMOUTH A,12.9,,8206496.2018.12.22,,,,NS,8206496,2018,,0,,,2.1,17,,,7.5,2018-12-22 00:00:00,10.5,,,
-66.08805555555556,43.82694444444444,,62,12,74,,23,,M,,63,YARMOUTH A,2.2,,8206496.2018.12.23,,,,NS,8206496,2018,,0,,,-2.9,31,,,-0.4,2018-12-23 00:00:00,18.4,,,
-66.08805555555556,43.82694444444444,,,12,86,,24,,M,,64,YARMOUTH A,-0.6,,8206496.2018.12.24,,,,NS,8206496,2018,,0,,,-5.3,,,,-3,2018-12-24 00:00:00,21,,,
-66.08805555555556,43.82694444444444,,41,12,71,,25,,M,,57,YARMOUTH A,-2.6,,8206496.2018.12.25,,,,NS,8206496,2018,,0,,,-5.7,32,,,-4.2,2018-12-25 00:00:00,22.2,,,
-66.08805555555556,43.82694444444444,,49,12,81,,26,,M,,49,YARMOUTH A,-1.8,,8206496.2018.12.26,,,,NS,8206496,2018,,0,,,-7,32,,,-4.4,2018-12-26 00:00:00,22.4,,,
-66.08805555555556,43.82694444444444,,50,12,73,,27,,M,,55,YARMOUTH A,-3.3,,8206496.2018.12.27,,,,NS,8206496,2018,,0,,,-10.9,32,,,-7.1,2018-12-27 00:00:00,25.1,,,
-66.08805555555556,43.82694444444444,,46,12,99,,28,,M,,66,YARMOUTH A,8,,8206496.2018.12.28,,,,NS,8206496,2018,,0,,,-9.6,19,,,-0.8,2018-12-28 00:00:00,18.8,,,
-66.08805555555556,43.82694444444444,,46,12,99,,29,,M,,64,YARMOUTH A,7.7,,8206496.2018.12.29,,,,NS,8206496,2018,,0,,,-3,33,,,2.4,2018-12-29 00:00:00,15.6,,,
-66.08805555555556,43.82694444444444,,37,12,83,,30,,M,,66,YARMOUTH A,-3,,8206496.2018.12.30,,,,NS,8206496,2018,,0,,,-9.8,35,,,-6.4,2018-12-30 00:00:00,24.4,,,
-66.08805555555556,43.82694444444444,,33,12,90,,31,,M,,59,YARMOUTH A,1.8,,8206496.2018.12.31,,,,NS,8206496,2018,,0,,,-10.8,18,,,-4.5,2018-12-31 00:00:00,22.5,,,
-66.08805555555556,43.82694444444444,,65,1,99,,1,,M,,58,YARMOUTH A,7.5,,8206496.2019.1.1,,,,NS,8206496,2019,,0,,,-2.9,34,,,2.3,2019-01-01 00:00:00,15.7,,,
-66.08805555555556,43.82694444444444,,59,1,83,,2,,M,,55,YARMOUTH A,-2.9,,8206496.2019.1.2,,,,NS,8206496,2019,,0,,,-11.3,35,,,-7.1,2019-01-02 00:00:00,25.1,,,
-66.08805555555556,43.82694444444444,,33,1,94,,3,,M,,76,YARMOUTH A,-2.8,,8206496.2019.1.3,,,,NS,8206496,2019,,0,,,-8.6,10,,,-5.7,2019-01-03 00:00:00,23.7,,,
-66.08805555555556,43.82694444444444,,,1,97,,4,,M,,69,YARMOUTH A,4.2,,8206496.2019.1.4,,,,NS,8206496,2019,,0,,,-4,,,,0.1,2019-01-04 00:00:00,17.9,,,
-66.08805555555556,43.82694444444444,,,1,99,,5,,M,,97,YARMOUTH A,4,,8206496.2019.1.5,,,,NS,8206496,2019,,0,,,-0.7,,,,1.7,2019-01-05 00:00:00,16.3,,,
-66.08805555555556,43.82694444444444,,53,1,98,,6,,M,,69,YARMOUTH A,2.8,,8206496.2019.1.6,,,,NS,8206496,2019,,0,,,-3.8,33,,,-0.5,2019-01-06 00:00:00,18.5,,,
-66.08805555555556,43.82694444444444,,54,1,81,,7,,M,,69,YARMOUTH A,-3.8,,8206496.2019.1.7,,,,NS,8206496,2019,,0,,,-10.9,33,,,-7.4,2019-01-07 00:00:00,25.4,,,
-66.08805555555556,43.82694444444444,,45,1,98,,8,,M,,77,YARMOUTH A,2.9,,8206496.2019.1.8,,,,NS,8206496,2019,,0,,,-10.5,12,,,-3.8,2019-01-08 00:00:00,21.8,,,
-66.08805555555556,43.82694444444444,,53,1,99,,9,,M,,85,YARMOUTH A,6.8,,8206496.2019.1.9,,,,NS,8206496,2019,,0,,,0.3,27,,,3.6,2019-01-09 00:00:00,14.4,,,
-66.08805555555556,43.82694444444444,,49,1,90,,10,,M,,68,YARMOUTH A,2.1,,8206496.2019.1.10,,,,NS,8206496,2019,,0,,,-2.4,27,,,-0.2,2019-01-10 00:00:00,18.2,,,
-66.08805555555556,43.82694444444444,,40,1,80,,11,,M,,69,YARMOUTH A,-1.7,,8206496.2019.1.11,,,,NS,8206496,2019,,0,,,-9.6,31,,,-5.7,2019-01-11 00:00:00,23.7,,,
-66.08805555555556,43.82694444444444,,45,1,82,,12,,M,,69,YARMOUTH A,-6.6,,8206496.2019.1.12,,,,NS,8206496,2019,,0,,,-9.7,31,,,-8.2,2019-01-12 00:00:00,26.2,,,
-66.08805555555556,43.82694444444444,,32,1,84,,13,,M,,74,YARMOUTH A,-4.8,,8206496.2019.1.13,,,,NS,8206496,2019,,0,,,-10.8,34,,,-7.8,2019-01-13 00:00:00,25.8,,,
-66.08805555555556,43.82694444444444,,,1,90,,14,,M,,59,YARMOUTH A,-3.2,,8206496.2019.1.14,,,,NS,8206496,2019,,0,,,-14.7,,,,-9,2019-01-14 00:00:00,27,,,
-66.08805555555556,43.82694444444444,,39,1,88,,15,,M,,64,YARMOUTH A,-1.5,,8206496.2019.1.15,,,,NS,8206496,2019,,0,,,-10.7,31,,,-6.1,2019-01-15 00:00:00,24.1,,,
-66.08805555555556,43.82694444444444,,45,1,94,,16,,M,,59,YARMOUTH A,2.5,,8206496.2019.1.16,,,,NS,8206496,2019,,0,,,-7.6,31,,,-2.6,2019-01-16 00:00:00,20.6,,,
