,T_min,T_max,R_s
2007-05-13,2.7,10.7,21.3264
2007-05-14,1.6,12.2,30.1716
2007-05-15,5.8,10.2,7.2
2007-05-16,5.7,12.0,4.2192
2007-05-17,5.4,9.4,9.3276
2007-05-18,4.7,12.4,5.886
2007-05-19,7.2,14.5,8.316
2007-05-20,6.2,12.4,20.8656
2007-05-21,2.1,10.2,20.4084
2007-05-22,2.0,14.6,30.697200000000002
2007-05-23,1.1,12.5,30.114
2007-05-24,2.8,14.1,25.9992
2007-05-25,7.5,22.5,17.622
2007-05-26,7.8,20.6,27.273600000000002
2007-05-27,9.3,18.4,29.43
2007-05-28,8.4,13.8,7.3728
2007-05-29,7.7,17.2,30.132
2007-05-30,7.2,16.4,24.2316
2007-05-31,8.5,16.7,22.1724
2007-06-01,7.8,14.1,9.709200000000001
2007-06-02,9.8,20.1,18.1296
2007-06-03,9.1,14.3,9.99
2007-06-04,8.8,17.8,7.4808
2007-06-05,10.9,16.4,10.9008
2007-06-06,8.1,17.5,19.836
2007-06-07,5.2,13.1,31.5576
2007-06-08,5.5,20.9,31.8384
2007-06-09,6.4,18.9,30.6036
2007-06-10,12.3,23.0,15.228
2007-06-11,16.4,21.7,12.700800000000001
2007-06-12,10.3,18.4,7.182
2007-06-13,9.8,15.5,8.6544
2007-06-14,8.7,17.4,16.6896
2007-06-15,8.1,21.5,24.3252
2007-06-16,9.8,17.2,15.6276
2007-06-17,10.0,16.2,22.5864
2007-06-18,9.3,20.4,31.5828
2007-06-19,8.2,20.4,31.474800000000002
2007-06-20,8.1,19.5,15.483600000000001
2007-06-21,9.7,19.2,20.124
2007-06-22,9.0,18.4,29.1996
2007-06-23,9.6,14.6,22.5324
2007-06-24,11.0,17.1,26.9604
2007-06-25,8.5,21.5,29.9772
2007-06-26,12.8,17.2,19.7388
2007-06-27,13.6,22.9,25.8876
2007-06-28,12.0,17.5,12.3156
2007-06-29,10.6,17.0,22.6836
2007-06-30,10.1,17.9,29.782799999999998
2007-07-01,7.7,16.4,30.5712
2007-07-02,8.3,16.8,31.125600000000002
2007-07-03,8.3,18.0,31.2228
2007-07-04,9.5,20.4,30.4056
2007-07-05,13.1,14.6,3.8412
2007-07-06,11.7,16.8,9.3204
2007-07-07,11.3,19.0,27.054000000000002
2007-07-08,8.8,14.9,8.9748
2007-07-09,6.8,21.1,20.3256
2007-07-10,12.6,20.4,22.536
2007-07-11,14.0,20.7,9.8676
2007-07-12,12.7,19.6,7.7508
2007-07-13,12.1,23.5,30.096
2007-07-14,12.6,19.5,16.4088
2007-07-15,14.0,20.5,16.1316
2007-07-16,14.0,21.5,19.6668
2007-07-17,11.6,21.8,28.0764
2007-07-18,12.1,20.5,9.7164
2007-07-19,14.4,21.6,11.008799999999999
2007-07-20,14.9,18.7,7.4448
2007-07-21,13.3,19.4,9.1548
2007-07-22,13.9,26.9,25.5348
2007-07-23,15.5,23.9,13.5864
2007-07-24,14.0,23.3,15.6132
2007-07-25,14.6,21.8,28.1628
2007-07-26,14.4,25.4,28.4256
2007-07-27,15.1,22.7,26.5464
2007-07-28,15.7,23.5,14.0544
2007-07-29,17.0,21.0,11.8908
2007-07-30,16.2,23.5,19.2132
2007-07-31,15.4,23.9,19.9224
2007-08-01,14.0,28.7,27.0468
2007-08-02,14.4,24.1,26.496000000000002
2007-08-03,16.0,21.3,17.5824
2007-08-04,15.3,23.7,12.4092
2007-08-05,12.8,22.9,27.144
2007-08-06,11.4,22.2,26.8128
