,T_min,T_max,R_s
2011-06-19,10.2,16.7,25.4196
2011-06-20,9.9,18.4,29.5128
2011-06-21,9.5,20.7,30.1032
2011-06-22,10.1,17.7,29.642400000000002
2011-06-23,10.8,21.0,23.3784
2011-06-24,11.9,19.0,13.3092
2011-06-25,11.1,16.9,8.1
2011-06-26,11.0,16.3,19.5768
2011-06-27,11.2,18.3,20.682000000000002
2011-06-28,12.0,22.1,26.7732
2011-06-29,14.2,21.5,11.556000000000001
2011-06-30,12.5,17.3,18.6696
2011-07-01,11.6,20.3,30.6468
2011-07-02,10.7,22.3,29.9808
2011-07-03,10.9,18.9,21.031200000000002
2011-07-04,15.3,19.8,12.276
2011-07-05,13.8,21.4,21.492
2011-07-06,13.5,22.2,25.2828
2011-07-07,13.9,21.1,29.628
2011-07-08,12.5,23.5,16.2432
2011-07-09,12.7,22.6,13.0464
2011-07-10,13.7,21.1,31.0608
2011-07-11,14.5,21.9,27.4968
2011-07-12,14.8,19.0,8.5212
2011-07-13,14.9,26.0,26.7696
2011-07-14,12.3,18.3,11.4156
2011-07-15,11.5,23.9,28.857599999999998
2011-07-16,11.8,21.8,26.5824
2011-07-17,15.0,21.5,27.2376
2011-07-18,14.9,19.6,16.4484
2011-07-19,14.1,22.5,22.0536
2011-07-20,14.3,25.5,27.1332
2011-07-21,14.6,19.8,13.2084
2011-07-22,16.5,20.7,16.9488
2011-07-23,13.5,25.4,12.3732
2011-07-24,12.6,24.0,24.3936
2011-07-25,13.2,23.3,29.592
2011-07-26,13.9,19.9,8.5176
2011-07-27,14.3,19.0,13.0932
2011-07-28,12.5,21.5,23.6088
2011-07-29,11.0,18.6,21.6072
2011-07-30,13.5,20.5,10.2744
2011-07-31,11.6,24.0,29.0088
2011-08-01,11.6,22.8,25.9164
2011-08-02,14.6,23.5,12.9204
2011-08-03,15.6,20.4,9.1656
2011-08-04,14.5,22.1,13.8888
2011-08-05,11.8,20.7,18.144
2011-08-06,12.6,20.1,18.4896
2011-08-07,15.4,20.0,9.5472
2011-08-08,14.8,18.7,6.5232
2011-08-09,15.0,22.5,23.1336
2011-08-10,15.1,17.5,5.6772
2011-08-11,12.0,17.9,22.23
2011-08-12,13.0,21.5,23.076
2011-08-13,13.9,23.1,25.704
2011-08-14,13.9,21.8,14.328
2011-08-15,15.6,23.1,11.8008
2011-08-16,12.3,19.0,9.6084
2011-08-17,11.3,20.2,26.0208
2011-08-18,10.9,20.6,15.915600000000001
2011-08-19,16.0,20.5,9.2628
2011-08-20,16.1,24.4,20.862000000000002
2011-08-21,16.4,23.5,17.838
2011-08-22,13.8,20.1,6.48
2011-08-23,12.3,19.4,25.4232
2011-08-24,12.0,22.3,23.454
2011-08-25,15.8,24.2,20.1852
2011-08-26,13.7,22.1,17.7516
2011-08-27,12.8,20.5,14.364
2011-08-28,17.7,24.3,11.0844
2011-08-29,11.9,18.6,24.2496
2011-08-30,9.5,19.8,21.3048
2011-08-31,9.9,21.8,23.4936
2011-09-01,12.6,23.5,17.3268
2011-09-02,11.2,23.1,22.6368
2011-09-03,9.8,18.9,21.9348
2011-09-04,14.1,21.4,14.9544
2011-09-05,16.7,21.9,12.5532
2011-09-06,14.1,20.2,6.0840000000000005
2011-09-07,12.9,16.9,7.1928
2011-09-08,14.2,23.7,13.1868
2011-09-09,13.1,22.6,12.9384
2011-09-10,8.1,16.6,22.446
2011-09-11,7.0,17.1,22.4028
2011-09-12,13.5,19.2,18.1692
2011-09-13,14.6,19.3,13.104000000000001
2011-09-14,15.3,20.0,12.5388
2011-09-15,12.6,22.1,10.2528
2011-09-16,9.7,13.8,19.8504
2011-09-17,6.6,14.6,21.258
2011-09-18,6.2,18.6,15.3972
2011-09-19,6.2,16.6,10.5156
2011-09-20,8.6,16.8,14.961599999999999
2011-09-21,12.0,18.6,16.790399999999998
2011-09-22,12.5,18.3,5.202
2011-09-23,15.5,21.5,8.4564
2011-09-24,14.2,21.1,4.6368
2011-09-25,13.9,18.9,9.878400000000001
2011-09-26,13.0,21.9,17.1576
2011-09-27,8.8,22.6,18.4716
2011-09-28,7.3,18.1,18.558
2011-09-29,8.0,19.3,6.6132
2011-09-30,13.9,19.3,14.0544
2011-10-01,16.3,19.0,4.0212
2011-10-02,16.8,19.7,3.7116
2011-10-03,11.9,18.3,10.7676
2011-10-04,12.8,18.1,4.8564
2011-10-05,5.5,13.9,7.8911999999999995
2011-10-06,3.5,8.4,12.1716
2011-10-07,0.8,8.9,17.2404
2011-10-08,8.3,17.4,15.7356
2011-10-09,13.5,20.0,15.678
2011-10-10,8.4,19.9,15.4512
2011-10-11,5.3,15.1,14.382
2011-10-12,5.3,14.1,9.5076
2011-10-13,10.8,17.3,4.1579999999999995
2011-10-14,15.8,19.1,4.276800000000001
2011-10-15,13.0,17.5,14.3892
2011-10-16,11.4,15.7,12.5208
2011-10-17,11.5,14.7,9.5508
2011-10-18,10.1,15.8,8.946
2011-10-19,7.7,14.8,3.2112
2011-10-20,13.7,19.5,2.2788
2011-10-21,10.9,16.6,11.9952
2011-10-22,7.4,15.8,7.1208
2011-10-23,4.0,13.7,13.482
2011-10-24,2.9,12.8,5.0112000000000005
2011-10-25,8.4,11.3,2.8188
2011-10-26,6.6,10.2,12.9168
2011-10-27,0.4,7.0,3.024
2011-10-28,-0.3,6.9,6.8256000000000006
2011-10-29,1.3,9.4,11.6424
2011-10-30,2.1,5.1,3.2508
2011-10-31,1.1,7.9,12.0528
2011-11-01,0.0,9.8,8.8164
2011-11-02,1.2,12.5,11.8872
2011-11-03,-0.1,11.2,11.2536
2011-11-04,2.3,9.8,6.9516
2011-11-05,-2.2,5.5,9.9756
2011-11-06,-3.0,10.8,11.3652
2011-11-07,7.5,10.8,5.6088000000000005
2011-11-08,4.7,14.6,10.6164
2011-11-09,3.4,15.4,9.8568
2011-11-10,4.8,17.3,6.9948
2011-11-11,4.9,15.4,1.8324
2011-11-12,4.2,9.6,7.0956
2011-11-13,4.1,12.9,9.1908
2011-11-14,11.6,13.2,4.8636
2011-11-15,6.5,13.1,2.8296
2011-11-16,3.5,13.9,8.01
2011-11-17,2.4,11.9,4.5612
2011-11-18,2.1,5.2,6.9696
2011-11-19,4.7,10.6,6.7932
2011-11-20,9.2,13.7,4.9428
2011-11-21,-5.4,9.3,8.9568
2011-11-22,-5.5,3.6,9.2952
2011-11-23,0.0,3.6,1.2492
2011-11-24,-1.3,3.9,4.7268
2011-11-25,3.8,10.4,3.7224
2011-11-26,4.5,12.4,7.9488
2011-11-27,1.9,10.3,5.3208
2011-11-28,6.4,13.2,4.744800000000001
2011-11-29,4.6,13.4,4.5864
2011-11-30,7.6,15.1,1.3716
2011-12-01,-0.3,9.2,7.1604
2011-12-02,-1.4,5.5,8.0064
2011-12-03,-0.5,6.0,4.7376000000000005
2011-12-04,1.8,8.4,2.5884
2011-12-05,7.6,12.4,6.4836
2011-12-06,10.1,12.5,2.0412
2011-12-07,9.3,12.7,1.2024
2011-12-08,2.6,14.6,3.1536
2011-12-09,1.9,8.0,6.4872
2011-12-10,-1.9,8.8,1.2888
2011-12-11,-5.0,2.8,5.544
2011-12-12,2.8,8.3,7.362
2011-12-13,-0.3,9.1,6.3504
2011-12-14,-1.9,4.5,6.8004
2011-12-15,-0.9,10.9,1.5084000000000002
2011-12-16,2.2,10.6,4.2552
2011-12-17,-3.7,3.0,6.1164
2011-12-18,-5.0,-1.4,4.777200000000001
2011-12-19,-6.4,7.3,7.3692
2011-12-20,-7.5,6.9,5.9544
2011-12-21,-8.3,11.1,2.016
2011-12-22,-0.1,10.6,2.8188
2011-12-23,-0.2,2.7,1.9332
2011-12-24,-11.1,1.9,3.258
2011-12-25,-12.0,2.2,4.59
2011-12-26,-3.3,4.2,2.5128
2011-12-27,-4.7,6.8,5.9508
2011-12-28,-0.1,11.3,1.2168
2011-12-29,-2.8,-0.1,5.666399999999999
2011-12-30,-1.6,1.4,6.8544
2011-12-31,0.4,9.7,1.1988
2012-01-01,0.9,5.8,1.8
2012-01-02,4.1,10.3,4.1472
2012-01-03,-8.6,4.5,5.119199999999999
2012-01-04,-10.1,-2.0,2.6784
2012-01-05,-2.6,2.3,1.9512
2012-01-06,-5.4,1.1,5.4864
2012-01-07,0.9,9.6,6.6204
2012-01-08,-1.1,6.3,4.3056
2012-01-09,-6.6,1.8,6.9984
2012-01-10,0.9,6.2,5.0328
2012-01-11,-8.7,1.3,8.524799999999999
2012-01-12,-6.8,6.3,1.494
2012-01-13,1.1,9.9,1.7496
2012-01-14,-6.5,3.7,2.0052
2012-01-15,-11.8,-6.5,3.9348000000000005
2012-01-16,-10.0,2.0,6.354
2012-01-17,1.9,6.2,1.422
2012-01-18,-6.7,8.4,6.3864
2012-01-19,-9.8,-3.6,9.2952
2012-01-20,-6.8,2.6,2.97
2012-01-21,-9.8,-4.1,3.2976
2012-01-22,-12.5,-5.3,7.8372
2012-01-23,-12.4,6.4,5.659199999999999
2012-01-24,4.6,9.9,1.9188
2012-01-25,-0.3,5.2,4.7844
2012-01-26,-5.5,-0.3,9.2952
2012-01-27,-3.7,9.1,1.4256
2012-01-28,-3.1,5.3,6.9372
2012-01-29,2.2,5.5,9.1548
2012-01-30,-4.6,5.9,3.8808
2012-01-31,-7.3,-2.3,5.4864
2012-02-01,-2.4,7.4,2.7612
2012-02-02,-5.0,1.0,3.654
2012-02-03,-7.0,-2.9,10.44
2012-02-04,-5.9,-0.7,7.2576
2012-02-05,-7.5,0.3,7.5816
2012-02-06,0.0,5.2,5.9256
2012-02-07,-3.6,4.0,3.3372
2012-02-08,-8.2,0.2,12.4488
2012-02-09,-1.8,2.8,4.6259999999999994
2012-02-10,-6.1,5.9,12.347999999999999
2012-02-11,-3.7,4.8,2.0772
2012-02-12,-12.3,-3.4,5.4468
2012-02-13,-12.3,-1.6,6.0408
2012-02-14,-11.4,3.8,8.4204
2012-02-15,-0.9,6.4,8.6256
2012-02-16,-2.7,6.9,11.7576
2012-02-17,-2.1,4.5,2.4012000000000002
2012-02-18,0.4,4.8,10.8756
2012-02-19,-1.8,1.8,14.148
2012-02-20,-6.0,-0.9,14.1516
2012-02-21,-6.7,2.6,14.6016
2012-02-22,0.6,7.1,6.6456
2012-02-23,0.6,7.1,3.0780000000000003
2012-02-24,1.5,4.5,4.6656
2012-02-25,1.1,8.7,4.3524
2012-02-26,-4.4,1.3,6.6528
2012-02-27,-6.2,3.6,12.474
2012-02-28,-4.7,4.5,3.6036
2012-02-29,-5.0,1.1,12.9924
2012-03-01,-6.8,-3.3,3.0492
2012-03-02,-6.7,0.8,8.798399999999999
2012-03-03,-1.6,7.4,2.304
2012-03-04,0.1,5.3,3.8736
2012-03-05,-3.3,3.0,10.1736
2012-03-06,-5.2,0.0,6.6204
2012-03-07,-6.9,6.0,15.0408
2012-03-08,4.9,10.9,16.124399999999998
2012-03-09,-2.7,10.0,5.7383999999999995
2012-03-10,-6.0,3.3,18.590400000000002
2012-03-11,-6.0,5.0,9.6588
2012-03-12,1.1,10.4,18.054000000000002
2012-03-13,2.0,12.7,11.574
2012-03-14,1.0,4.2,3.006
2012-03-15,-1.0,3.3,8.4888
2012-03-16,-1.5,4.3,11.97
2012-03-17,0.8,8.5,16.434
2012-03-18,0.9,8.1,12.3804
2012-03-19,2.0,18.3,15.894
2012-03-20,1.0,9.3,14.716800000000001
2012-03-21,6.2,16.6,19.746
2012-03-22,8.0,11.7,18.273600000000002
2012-03-23,2.3,12.6,21.492
2012-03-24,-2.7,5.1,20.2104
2012-03-25,0.7,7.3,7.776
2012-03-26,-2.9,5.6,6.9084
2012-03-27,-4.9,1.2,16.254
2012-03-28,-3.1,3.1,15.2676
2012-03-29,-1.5,2.1,5.551200000000001
2012-03-30,-0.5,4.2,15.469199999999999
2012-03-31,-2.9,5.0,22.3776
2012-04-01,-2.8,8.0,22.7952
2012-04-02,-0.6,6.6,15.1272
2012-04-03,-1.4,4.8,15.8112
2012-04-04,1.2,7.6,19.5264
2012-04-05,2.4,8.0,18.6444
2012-04-06,0.0,6.3,23.1156
2012-04-07,-3.0,10.1,15.5232
2012-04-08,-0.3,3.5,10.803600000000001
2012-04-09,3.2,10.3,17.0316
2012-04-10,4.0,11.7,24.1812
2012-04-11,2.6,12.4,16.4628
2012-04-12,0.9,12.1,13.9392
2012-04-13,0.1,8.4,23.759999999999998
2012-04-14,4.1,14.1,25.2756
2012-04-15,4.6,15.5,23.9616
2012-04-16,5.5,15.0,18.9972
2012-04-17,6.4,14.3,13.0212
2012-04-18,4.6,14.6,25.2396
2012-04-19,2.5,11.4,19.9584
2012-04-20,3.2,11.6,24.426
2012-04-21,5.6,11.9,7.2396
2012-04-22,8.9,12.1,7.1352
2012-04-23,10.8,15.6,5.3496
2012-04-24,4.9,17.2,18.082800000000002
2012-04-25,4.0,12.2,9.6552
2012-04-26,3.7,11.3,24.8724
2012-04-27,3.6,11.6,8.7228
2012-04-28,1.5,6.2,16.9524
2012-04-29,1.3,8.3,27.6012
2012-04-30,-3.5,17.2,26.8884
2012-05-01,0.4,8.8,10.962
2012-05-02,2.7,9.4,11.1096
2012-05-03,2.6,12.9,26.946
2012-05-04,3.0,11.6,15.2532
2012-05-05,3.0,11.6,13.8924
2012-05-06,3.9,15.6,25.7544
2012-05-07,3.5,16.0,29.4516
2012-05-08,2.1,14.7,15.7644
2012-05-09,7.7,10.9,4.5684000000000005
2012-05-10,8.6,13.9,5.7924
2012-05-11,6.7,11.7,28.8
2012-05-12,3.9,13.5,28.9476
2012-05-13,3.7,17.2,19.368
2012-05-14,7.8,14.7,17.0028
2012-05-15,11.6,19.7,20.7576
2012-05-16,11.3,14.6,5.8104
2012-05-17,6.0,15.0,16.0272
2012-05-18,5.1,15.5,29.7108
2012-05-19,4.7,17.5,29.1924
2012-05-20,8.0,21.6,28.965600000000002
2012-05-21,8.3,21.0,28.5516
2012-05-22,14.2,21.1,11.1168
2012-05-23,11.7,23.9,19.71
2012-05-24,8.7,19.8,29.142
2012-05-25,8.7,16.2,24.2244
2012-05-26,10.4,16.1,11.322
2012-05-27,9.2,19.6,27.784799999999997
2012-05-28,10.9,17.0,15.372
2012-05-29,9.5,14.2,9.6948
2012-05-30,8.7,15.3,9.702
2012-05-31,8.7,19.0,19.7604
2012-06-01,7.9,18.0,30.1932
2012-06-02,7.7,18.7,21.9708
2012-06-03,9.2,13.7,8.064
2012-06-04,8.1,11.7,8.7912
2012-06-05,8.1,13.5,13.212
2012-06-06,8.0,13.2,14.392800000000001
2012-06-07,7.8,13.4,26.0568
2012-06-08,8.4,13.8,23.8032
2012-06-09,9.2,15.7,20.1744
2012-06-10,10.6,19.7,21.3408
2012-06-11,8.0,19.0,30.0564
2012-06-12,7.7,18.2,28.4148
2012-06-13,9.0,18.1,26.91
2012-06-14,12.3,22.9,19.6164
2012-06-15,11.7,23.9,24.2892
2012-06-16,9.4,19.3,25.0416
2012-06-17,7.0,19.3,25.6284
2012-06-18,8.4,16.1,21.0492
2012-06-19,9.5,16.9,23.0292
2012-06-20,11.4,19.6,22.1112
2012-06-21,13.8,23.1,24.786
2012-06-22,13.6,23.2,24.3144
2012-06-23,14.5,17.3,7.0452
2012-06-24,11.4,16.8,14.1768
2012-06-25,10.3,22.6,21.6576
2012-06-26,13.9,18.5,6.1632
2012-06-27,13.6,18.6,25.0956
2012-06-28,14.4,19.5,22.7052
2012-06-29,14.2,19.5,12.9816
2012-06-30,14.0,25.1,28.7532
2012-07-01,13.5,26.6,29.6892
2012-07-02,14.4,25.1,28.4004
2012-07-03,12.4,25.0,30.33
2012-07-04,12.2,23.2,21.96
2012-07-05,15.9,22.0,10.8756
2012-07-06,15.2,24.3,17.748
2012-07-07,14.4,22.8,23.4
2012-07-08,12.5,22.0,30.798000000000002
2012-07-09,11.7,21.5,31.5108
2012-07-10,12.0,22.3,31.212
2012-07-11,13.3,23.5,28.512
2012-07-12,11.4,23.9,29.844
2012-07-13,12.1,23.6,29.1636
2012-07-14,15.6,23.3,19.9872
2012-07-15,15.4,25.3,27.4968
2012-07-16,16.9,21.9,6.6168
2012-07-17,17.5,22.6,13.0572
2012-07-18,17.1,24.6,26.298000000000002
2012-07-19,13.1,19.9,29.8944
2012-07-20,11.6,20.6,28.2672
2012-07-21,10.8,22.8,28.5228
2012-07-22,11.7,23.4,29.1276
2012-07-23,16.0,22.0,27.3564
2012-07-24,15.7,20.5,7.0596000000000005
2012-07-25,13.3,22.8,28.717200000000002
2012-07-26,12.6,21.2,13.5288
2012-07-27,15.4,21.7,10.854000000000001
2012-07-28,14.9,26.7,24.4404
2012-07-29,15.4,20.5,4.8024000000000004
2012-07-30,15.0,23.2,27.2484
2012-07-31,15.6,22.7,24.3
2012-08-01,15.4,20.0,10.6164
2012-08-02,16.3,23.2,13.14
2012-08-03,16.8,20.3,13.6044
2012-08-04,14.9,26.4,25.7688
2012-08-05,14.1,22.2,13.4316
2012-08-06,16.5,22.0,14.6376
2012-08-07,13.9,23.2,27.6048
2012-08-08,13.5,22.9,26.0064
2012-08-09,13.5,26.2,26.1216
2012-08-10,15.2,23.8,16.0128
2012-08-11,18.1,22.8,8.9316
2012-08-12,18.9,23.9,9.6768
2012-08-13,16.0,22.3,10.5084
2012-08-14,15.3,24.8,21.150000000000002
2012-08-15,16.4,23.1,19.6704
2012-08-16,16.2,22.7,6.7176
2012-08-17,15.1,20.5,13.7124
2012-08-18,16.1,25.2,16.578
2012-08-19,15.1,23.4,11.142
2012-08-20,15.1,21.9,13.266
2012-08-21,15.1,22.1,23.5692
2012-08-22,13.9,25.0,21.384
2012-08-23,11.0,22.6,20.2428
2012-08-24,13.7,24.5,24.678
2012-08-25,13.6,24.3,24.3936
2012-08-26,13.0,22.9,23.958
2012-08-27,13.9,20.4,19.238400000000002
2012-08-28,13.7,20.3,6.1488
2012-08-29,12.1,18.6,24.5016
2012-08-30,14.7,21.0,23.1516
2012-08-31,16.4,21.8,18.144000000000002
2012-09-01,11.4,22.1,23.9724
2012-09-02,9.9,20.6,17.856
2012-09-03,10.1,19.3,22.8492
2012-09-04,13.1,20.3,18.99
2012-09-05,14.6,19.6,4.7844
2012-09-06,14.6,19.1,11.9016
2012-09-07,13.7,21.1,11.7576
2012-09-08,16.8,23.8,16.0092
2012-09-09,15.2,21.0,4.4136
2012-09-10,12.9,18.5,17.4708
2012-09-11,12.0,17.3,22.168799999999997
2012-09-12,10.3,19.6,21.0672
2012-09-13,13.9,20.4,18.0144
2012-09-14,13.4,21.0,19.1232
2012-09-15,11.3,22.6,18.8928
2012-09-16,10.6,14.9,21.3804
2012-09-17,8.2,16.9,20.8584
2012-09-18,8.2,20.5,18.684
2012-09-19,11.1,20.8,4.1868
2012-09-20,9.4,17.8,13.5072
2012-09-21,12.4,20.0,5.3351999999999995
2012-09-22,16.6,20.8,4.8708
2012-09-23,12.6,18.6,7.6572
2012-09-24,7.9,20.1,13.5252
2012-09-25,9.5,18.0,13.4244
2012-09-26,13.5,19.2,13.7772
2012-09-27,6.6,17.4,11.1528
2012-09-28,4.5,15.1,10.9512
2012-09-29,12.1,18.3,10.3428
2012-09-30,14.0,19.5,10.2024
2012-10-01,13.0,17.2,8.420399999999999
2012-10-02,13.1,18.0,10.044
2012-10-03,13.4,20.7,10.8252
2012-10-04,10.8,19.0,10.9044
2012-10-05,11.3,15.0,11.3256
2012-10-06,12.0,17.4,11.862
2012-10-07,9.5,14.9,12.0204
2012-10-08,6.2,12.3,12.0528
2012-10-09,6.9,11.0,9.9648
2012-10-10,8.8,17.1,10.494
2012-10-11,9.6,15.2,11.8692
2012-10-12,4.5,14.7,11.8224
2012-10-13,3.6,7.9,10.735199999999999
2012-10-14,3.8,14.0,2.3688
2012-10-15,13.7,20.1,9.3996
2012-10-16,7.9,16.7,7.1604
2012-10-17,4.9,11.2,12.2004
2012-10-18,3.4,14.4,11.3868
2012-10-19,4.9,17.5,12.2508
2012-10-20,14.1,18.5,3.582
2012-10-21,10.2,15.2,11.3472
2012-10-22,10.0,13.4,7.2504
2012-10-23,6.0,10.7,13.464
2012-10-24,0.6,9.0,13.2408
2012-10-25,-1.3,9.8,13.3056
2012-10-26,1.5,13.4,12.5928
2012-10-27,5.2,19.2,12.4236
2012-10-28,6.0,18.4,10.9764
2012-10-29,12.0,16.4,3.7656
2012-10-30,16.2,19.6,3.798
2012-10-31,11.2,18.0,4.302
2012-11-01,7.2,15.3,4.7016
2012-11-02,5.4,13.7,6.1812
2012-11-03,4.7,12.2,6.2136
2012-11-04,6.0,9.8,3.8664
2012-11-05,0.2,6.3,4.0428
2012-11-06,-2.5,5.3,7.2108
2012-11-07,-3.5,3.2,2.6712
2012-11-08,0.8499999999999996,6.6,1.7892000000000001
2012-11-09,5.2,10.0,4.0932
2012-11-10,-0.9,7.7,8.1756
2012-11-11,-2.7,10.2,5.5296
2012-11-12,1.4500000000000002,13.25,9.3168
2012-11-13,5.6,16.3,4.896
2012-11-14,3.4,6.4,1.7856
2012-11-15,1.9,9.5,6.8076
2012-11-16,3.3,7.8,3.3588
2012-11-17,-2.3,6.0,8.9856
2012-11-18,-3.8,6.8,9.4968
2012-11-19,-3.5,8.8,9.1548
2012-11-20,-2.5,9.9,9.1692
2012-11-21,0.6,9.8,7.1352
2012-11-22,0.2,11.0,8.7264
2012-11-23,-1.3,11.4,8.7408
2012-11-24,2.5,12.4,3.9888
2012-11-25,0.55,8.7,2.1312
2012-11-26,-1.4,5.0,6.2208
2012-11-27,-5.2,2.5,4.2984
2012-11-28,-4.0,1.7,2.6568
2012-11-29,-4.2,5.3,5.4576
2012-11-30,-6.699999999999999,2.65,7.5096
2012-12-01,-9.2,0.0,7.29
2012-12-02,-2.1,11.4,1.3752
2012-12-03,4.2,11.5,2.9592
2012-12-04,3.6,7.6,2.6496
2012-12-05,2.3,12.0,1.4616
2012-12-06,-4.9,2.3,2.7324
2012-12-07,-6.3,7.0,6.0012
2012-12-08,6.4,11.7,1.4616
2012-12-09,-1.6,9.0,5.8032
2012-12-10,-0.1,14.4,0.9432
2012-12-11,0.3,12.9,2.196
2012-12-12,-3.6,1.2,5.49
2012-12-13,-3.3,4.5,4.1688
2012-12-14,-0.2,7.8,2.88
2012-12-15,-1.8666666666666667,6.866666666666666,3.6612
2012-12-16,-3.5333333333333337,5.933333333333334,7.2
2012-12-17,-5.2,5.0,3.1284
2012-12-18,4.3,7.0,0.972
2012-12-19,0.2,6.9,1.6416
2012-12-20,-2.8,3.7,4.0248
2012-12-21,-1.4,12.3,1.7316
2012-12-22,1.1,8.8,4.3812
2012-12-23,-2.6,3.3,1.4652
2012-12-24,-0.1,3.0,4.4964
2012-12-25,-2.35,1.35,5.0544
2012-12-26,-4.6,-0.3,5.0004
2012-12-27,-2.7,5.7,1.4328
2012-12-28,-1.2,4.3,2.34
2012-12-29,-2.1,1.0,5.2848
2012-12-30,-3.8499999999999996,1.0,2.1312
2012-12-31,-5.6,1.0,4.4676
2013-01-01,-8.2,3.4,4.716
2013-01-02,-9.3,-7.1,2.3868
2013-01-03,-9.0,-4.9,3.1428
2013-01-04,-5.7,3.3,2.3724
2013-01-05,-7.5,3.2,3.5568
2013-01-06,-8.5,3.2,1.6452
2013-01-07,-12.6,-1.3,5.1084
2013-01-08,-12.6,6.2,3.4308
2013-01-09,-3.0,7.0,6.462
2013-01-10,-0.5,6.2,3.9456
2013-01-11,-3.2,1.7,8.208
2013-01-12,-2.7,4.9,6.606
2013-01-13,1.0,7.0,2.9052000000000002
2013-01-14,3.2,9.4,1.9656
2013-01-15,-2.0,3.8,7.5276
2013-01-16,-2.0,0.1,1.4364000000000001
2013-01-17,-6.4,5.0,5.6484
2013-01-18,-11.1,-4.3,3.5568
2013-01-19,-4.5,6.4,1.206
2013-01-20,0.2,10.3,8.136
2013-01-21,-7.1,0.2,5.0004
2013-01-22,-10.0,-7.1,2.466
2013-01-23,-13.2,-8.5,2.826
2013-01-24,-13.6,-9.9,2.6784
2013-01-25,-13.4,-5.3,2.556
2013-01-26,-11.4,-6.9,6.3468
2013-01-27,-11.266666666666667,-4.4,4.3956
2013-01-28,-11.133333333333333,-1.9000000000000004,8.568
2013-01-29,-11.0,0.6,8.8668
2013-01-30,-4.55,5.75,1.7352
2013-01-31,1.9,10.9,2.6928
2013-02-01,0.07499999999999973,7.7,5.9724
2013-02-02,-1.7500000000000004,4.5,9.1044
2013-02-03,-3.5750000000000006,1.299999999999999,3.3228
2013-02-04,-5.4,-1.9,4.3884
2013-02-05,-11.1,-4.5,9.6588
2013-02-06,-9.1,0.4,8.3124
2013-02-07,-15.7,-4.6,6.9696
2013-02-08,-12.866666666666665,-3.5999999999999996,5.9328
2013-02-09,-10.033333333333331,-2.5999999999999996,4.0932
2013-02-10,-7.2,-1.6,9.0828
2013-02-11,-10.4,5.2,6.2496
2013-02-12,-8.433333333333334,4.933333333333334,6.3144
2013-02-13,-6.466666666666667,4.666666666666667,10.1952
2013-02-14,-4.5,4.4,9.7668
2013-02-15,-4.7,4.6,9.3672
2013-02-16,2.0,9.6,9.8928
2013-02-17,-1.7000000000000002,4.0,2.4732
2013-02-18,-5.4,-1.6,6.9984
2013-02-19,-2.95,2.4999999999999996,12.113999999999999
2013-02-20,-0.5,6.6,8.1468
2013-02-21,-1.9,0.5,4.9176
2013-02-22,-5.1,0.6,6.7356
2013-02-23,-5.5,-1.3,14.104800000000001
2013-02-24,-3.7,0.8,3.078
2013-02-25,-4.3,5.1,13.3848
2013-02-26,-7.5,4.2,15.569999999999999
2013-02-27,-5.2,5.7,12.6288
2013-02-28,0.7,4.1,2.5704000000000002
2013-03-01,-0.8,1.9,4.5504
2013-03-02,-0.8,2.7,6.2604
2013-03-03,0.4,5.1,10.6272
2013-03-04,0.3,2.9,6.7932
2013-03-05,0.3,7.4,11.689200000000001
2013-03-06,-0.6,3.5,7.7616000000000005
2013-03-07,0.5,2.9,5.436
2013-03-08,-1.3,7.1,7.7219999999999995
2013-03-09,-3.7,6.6,14.2128
2013-03-10,-3.3,4.0,17.694
2013-03-11,-3.5,3.2,11.1528
2013-03-12,1.5,9.5,7.524
2013-03-13,2.5,10.2,2.9088
2013-03-14,0.0,5.4,18.4572
2013-03-15,-3.2,0.1,6.8112
2013-03-16,-5.8,-0.5,18.3024
2013-03-17,-7.6,0.1,16.6356
2013-03-18,-9.2,-1.9,20.2536
2013-03-19,-5.0,-1.0,5.2848
2013-03-20,-2.9,1.5,7.632
2013-03-21,-2.0,4.5,10.3104
2013-03-22,-1.3,3.5,20.1492
2013-03-23,-0.9,2.7,11.322
2013-03-24,-3.3,5.1,17.6472
2013-03-25,-2.6,7.6,14.5908
2013-03-26,-0.7,6.7,16.221600000000002
2013-03-27,1.1,3.9,9.4392
2013-03-28,-1.4,8.8,12.6
2013-03-29,-1.6,9.2,19.8216
2013-03-30,0.3,9.7,22.428
2013-03-31,-2.8,9.8,22.1976
2013-04-01,1.0,6.9,5.6304
2013-04-02,-1.7,2.3,17.2836
2013-04-03,-1.8,3.0,15.2676
2013-04-04,-0.2,4.8,23.5764
2013-04-05,2.5,6.7,7.4736
2013-04-06,-1.7,2.8,20.4336
2013-04-07,-5.7,4.8,22.7952
2013-04-08,1.7,11.7,20.4228
2013-04-09,1.4,5.3,4.716
2013-04-10,2.3,7.6,10.8504
2013-04-11,-0.5,8.9,19.0224
2013-04-12,-1.6,5.5,6.9912
2013-04-13,0.6,6.4,7.7472
2013-04-14,2.5,5.7,8.208
2013-04-15,-0.2,8.2,22.2012
2013-04-16,0.5,7.0,17.1612
2013-04-17,1.4,10.3,25.7976
2013-04-18,-0.4,10.4,18.486
2013-04-19,5.6,13.2,9.7416
2013-04-20,2.5,10.55,4.7556
2013-04-21,-0.6,7.9,26.37
2013-04-22,-2.0,10.9,24.7284
